LD1	LD2	sampleID
2.837164	-0.25508052	HGDP00445
2.7482412	-0.41401118	HGDP00423
2.2917044	-0.372297	HGDP00189
3.0250852	0.5196999	HGDP00243
2.1235604	0.07660646	HGDP00033
2.1114678	0.112150855	HGDP00011
2.200073	-0.3343317	HGDP00210
2.4932265	0.6381822	HGDP00082
2.6218793	-0.50876516	HGDP00258
4.372484	0.47814494	HGDP00315
2.7578044	0.29173905	HGDP00052
1.2647939	0.12528975	HGDP00074
2.3845978	-0.27411073	HGDP00185
2.3138516	0.13699336	HGDP00072
2.6213844	-0.08675962	HGDP00192
2.7402043	-0.14638583	HGDP00244
4.3649764	0.6261788	HGDP00277
2.9171216	-0.19246511	HGDP00412
2.1149893	0.14138372	HGDP00092
4.1394677	2.8715913	HGDP01358
2.488241	-0.23251025	HGDP00228
2.1681726	-0.4399485	HGDP00264
4.9255333	1.1514791	HGDP00290
5.000592	0.8835829	HGDP00330
1.729147	-0.13887446	HGDP00003
4.2081738	3.2647176	HGDP01359
2.6688347	-0.21355192	HGDP00417
1.8341795	0.23157187	HGDP00025
0.49553078	0.12182427	HGDP00139
4.1160293	3.0750144	HGDP00536
3.5624435	2.2904994	HGDP00539
2.5768316	-0.15118246	HGDP00205
2.416317	-0.5048092	HGDP00183
2.8582156	-0.6957713	HGDP00402
2.4045994	-0.32676262	HGDP00169
1.7842543	0.16452153	HGDP00080
2.4646227	0.18922623	HGDP00096
1.854351	-0.0032916567	HGDP00015
0.9282151	0.11769069	HGDP00141
3.8688674	1.7360452	HGDP00879
1.9913775	-0.055103827	HGDP00086
4.3378773	0.47691637	HGDP00298
1.763269	0.13353677	HGDP00146
2.8017704	0.12630768	HGDP00251
4.029187	2.3059356	HGDP00902
0.4948615	0.47418994	HGDP00150
2.4956589	0.0813709	HGDP00226
4.855875	0.91712385	HGDP00309
1.1314825	0.031639528	HGDP00153
4.109666	2.3362029	HGDP00519
3.0457056	2.4481518	HGDP00512
2.151152	0.12101776	HGDP00088
1.9793832	0.16022165	HGDP00145
4.542672	3.4460075	HGDP01357
1.7280219	0.04709251	HGDP00134
1.4543194	0.26830208	HGDP00137
2.3259766	-0.27945477	HGDP00201
3.8949034	1.6877452	HGDP00880
3.227249	2.1674354	HGDP00513
4.1206117	2.5534182	HGDP00900
4.1045065	1.6387435	HGDP00898
3.0749595	1.9637451	HGDP00527
3.718273	2.9055302	HGDP01363
3.2159035	1.9403113	HGDP00524
3.9966295	2.3415067	HGDP00511
1.2180824	0.22623785	HGDP00154
3.1364133	1.1265687	HGDP01404
2.462958	0.18554504	HGDP00143
2.6991384	-0.057342816	HGDP01384
3.7050426	1.9143502	HGDP00899
4.35027	2.0928617	HGDP00901
1.4425437	-0.19780676	HGDP00177
4.3443546	1.6901034	HGDP00886
0.81045157	0.16588445	HGDP00078
3.203799	1.5295906	HGDP01388
4.330909	2.9864075	HGDP01360
2.6237423	2.128165	HGDP00520
1.9084716	-0.0008059046	HGDP00149
3.51814	2.3570917	HGDP00522
3.6733243	2.2445729	HGDP00535
4.1698236	2.902802	HGDP00523
3.9143786	2.589421	HGDP00518
2.1942766	0.13017245	HGDP00158
2.477917	0.012082526	HGDP00094
4.178908	3.1163309	HGDP00531
3.7256606	2.4147632	HGDP00537
4.292228	3.0554154	HGDP00528
1.2628338	0.07906086	HGDP00151
3.1483831	1.9302397	HGDP00516
3.778279	1.1549646	HGDP00895
1.4796209	0.064786024	HGDP00133
3.6260154	1.4315633	HGDP00891
0.75247484	0.37713367	HGDP00076
3.8361986	2.657592	HGDP01362
3.6659143	2.5495608	HGDP00529
4.446647	1.8713375	HGDP00883
4.0248246	2.6136763	HGDP00515
1.107564	0.0027282932	HGDP00140
3.4116132	1.7830182	HGDP00882
3.2757914	2.0297797	HGDP00538
2.289786	1.0153545	HGDP01400
1.456779	0.23914428	HGDP00148
1.1550951	0.11595721	HGDP00155
2.6082172	1.5093555	HGDP01398
2.353987	0.35127074	HGDP00131
2.6985981	1.4043401	HGDP01382
1.4218221	0.008805105	HGDP00144
3.9292142	1.81048	HGDP00884
3.806455	2.8713865	HGDP01376
4.2711344	2.0497224	HGDP00889
2.6080754	0.94655186	HGDP01397
4.5886183	2.525801	HGDP00896
3.1680577	1.7961735	HGDP01386
3.5454013	2.4895346	HGDP00525
4.2735767	1.9441959	HGDP00890
2.4313114	1.0466115	HGDP01403
3.476187	1.3229189	HGDP00893
3.9367554	1.9272217	HGDP00897
3.5656135	2.601257	HGDP00517
4.7670684	2.8575687	HGDP00799
4.0941973	2.0510495	HGDP00885
1.5457505	0.18369325	HGDP00161
3.4662116	1.4826862	HGDP00892
3.5198798	1.6303564	HGDP00888
3.5060012	3.6570153	HGDP01074
3.218336	1.6423982	HGDP00881
3.9680066	4.1943936	HGDP00671
3.8181708	2.6410282	HGDP00514
3.079661	2.085018	HGDP01157
4.2703733	1.9707844	HGDP00894
2.8280811	2.4615715	HGDP01164
